"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2025/04/16","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","2195","0","2195","2195","0","*"
"2025/04/15","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/04/15","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/04/14","明石吉田屋産業","本人","1回払い","10479","0","10479","10479","0","*"
"2025/04/14","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/04/13","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","6264","0","6264","6264","0","*"
"2025/04/13","AMAZON.CO.JP","本人","1回払い","962","0","962","962","0","*"
"2025/04/11","楽天モバイル通信料","本人","1回払い","2181","0","2181","2181","0","*"
"2025/04/11","APPLE COM BILL","本人","1回払い","980","0","980","980","0","*"
"2025/04/11","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","1140","0","1140","1140","0","*"
"2025/04/11","AMAZON.CO.JP","本人","1回払い","414","0","414","414","0","*"
"2025/04/08","ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ","本人","1回払い","600","0","600","600","0","*"
"2025/04/07","ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","3467","0","3467","3467","0","*"
"2025/04/07","ﾂﾀﾔｼｵﾀﾊﾞｼﾃﾝ","本人","1回払い","3960","0","3960","3960","0","*"
"2025/04/07","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/04/06","APPLE COM BILL","本人","1回払い","150","0","150","150","0","*"
"2025/04/05","ファミリーマート","本人","1回払い","324","0","324","324","0","*"
"2025/04/05","ﾍﾞﾙﾏ-ﾄﾄﾖﾊｼﾃﾝ","本人","1回払い","478","0","478","478","0","*"
"2025/04/05","ｽｺﾝﾀ- ﾒｲｴｷﾃﾝ/NFC","本人","1回払い","2046","0","2046","2046","0","*"
"2025/04/05","ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","580","0","580","580","0","*"
"2025/04/04","ｷﾞｮｳｻﾞﾉｵｳｼｮｳ ﾄﾖﾊ","本人","1回払い","858","0","858","858","0","*"
"2025/04/04","ローソン","本人","1回払い","838","0","838","838","0","*"
"2025/04/04","ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ","本人","1回払い","420","0","420","420","0","*"
"2025/04/04","ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ","本人","1回払い","186","0","186","186","0","*"
"2025/04/04","ｽｷﾔ","本人","1回払い","970","0","970","970","0","*"
"2025/04/03","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","1230","0","1230","1230","0","*"
"2025/04/02","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","790","0","790","790","0","*"
"2025/04/01","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","590","0","590","590","0","*"
"2025/03/30","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/03/26","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
