"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2025/04/30","ニッポンレンタカー","本人","1回払い","10850","0","10850","10850","0","*"
"2025/04/30","フードバザー　御殿場","本人","1回払い","2860","0","2860","2860","0","*"
"2025/04/28","APPLE COM BILL","本人","1回払い","650","0","650","650","0","*"
"2025/04/28","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/04/28","APPLE COM BILL","本人","1回払い","650","0","650","650","0","*"
"2025/04/27","マクドナルドモバイルオーダー","本人","1回払い","540","0","540","540","0","*"
"2025/04/26","ＪＲ東日本グループ駅ビル２","本人","1回払い","1540","0","1540","1540","0","*"
"2025/04/26","JRﾄｳｶｲ(ｲﾂﾊﾟﾝｶ-ﾄﾞ","本人","1回払い","8570","0","8570","8570","0","*"
"2025/04/25","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","1160","0","1160","1160","0","*"
"2025/04/25","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/04/24","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","840","0","840","840","0","*"
"2025/04/23","APPLE COM BILL","本人","1回払い","650","0","650","650","0","*"
"2025/04/23","APPLE COM BILL","本人","1回払い","650","0","650","650","0","*"
"2025/04/23","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/04/22","ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀ","本人","1回払い","540","0","540","540","0","*"
"2025/04/21","ｷﾞｮｳｻﾞﾉｵｳｼｮｳ ﾄﾖﾊ","本人","1回払い","990","0","990","990","0","*"
"2025/04/21","ｶﾙﾐｱ","本人","1回払い","4413","0","4413","4413","0","*"
"2025/04/21","ｶﾙﾐｱ","本人","1回払い","2880","0","2880","2880","0","*"
"2025/04/20","楽天Ｅｄｙクレカチャージ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/04/18","ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","1140","0","1140","1140","0","*"
"2025/04/17","中部電力　　料金　　　２５／０４","本人","1回払い","4510","0","4510","4510","0","*"
